1	25630	29101	28275	2	19742	4	27107	19480	5	10	886	17725	22584	20685	13493	112	21092	24294	6	17473	19718	10	21600	259	5269	3745
2	0	27	0	193	738	82	0	273	3115	2039	7569	901	435	271	250	0	532	742	3700	308	486	1	7	0	6	630
3	0	96	0	0	77	0	0	11	227	103	562	187	72	0	0	0	166	226	322	3	214	0	3	0	30	600
4	3	113	4	0	2771	0	2	715	1838	38	3245	2467	1711	23	4	16	3889	1694	308	12	3645	2	0	0	215	804
5	2	0	0	2	129	0	0	0	256	273	117	422	0	0	3	0	270	0	45	190	1015	0	0	0	70	295
6	0	0	0	88	838	12	0	0	1291	2852	3404	930	0	0	12	0	828	0	4496	188	246	0	2	1	92	846
7	18	3	5	65	7	15	7	3	22	32	12	22	4	19	11	11	16	6	18	42	13	9	4	5	36	1
8	9124	8218	10610	12695	4537	9846	7281	2653	4549	11271	8193	7156	5044	4355	3636	6687	3621	4797	12068	6854	3927	20854	10041	14295	1837	131
9	0	0	0	0	152	0	0	0	0	0	0	0	0	0	3	0	44	0	0	0	2	0	0	0	130	53
10	107	165	262	629	260	388	62	232	178	521	435	371	258	376	299	352	244	365	661	590	127	135	82	71	342	2528
11	20319	28567	16290	48343	29789	35450	14210	23919	50067	39901	54831	37274	27543	21249	26485	28701	35228	30448	51558	39547	37661	19260	11004	8476	16330	11091
12	11	19	127	0	19	0	23	7	64	8	2	35	5	9	4	22604	19	16	0	8	20	1682	14	26458	909	2
